Date,iso3,CountryName,Region,lat,lon,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,Hospitalized,IntensiveCare,EUcountry,EUCPMcountry,NUTS
2022-10-10,AFG,Afghanistan,,,,5481,6,,5475,,,False,False,
2022-10-10,AFG,Afghanistan,,,,17786,125,,17661,,,False,False,TJ
2022-10-10,AFG,Afghanistan,,36.966428,-95.844032,95260865,1050195,,94210670,,,False,False,US
2022-10-10,AFG,Afghanistan,,12.866726,-85.214298,15092,245,,14847,,,False,False,NI
2022-10-10,AFG,Afghanistan,,16.749415,-62.192741,1403,8,,1395,,,False,False,MS
2022-10-10,AFG,Afghanistan,,-22.965662,18.486165,166774,4080,,162694,,,False,False,NA
2022-10-10,AFG,Afghanistan,,44.206802,20.911009,2377762,17086,,2360676,,,False,False,RS
2022-10-10,AFG,Afghanistan,,-18.777193,46.854328,66684,1410,,65274,,,False,False,MG
2022-10-10,AFG,Afghanistan,,51.92275,19.136875,6315552,117756,,6197796,,,False,False,PL
2022-10-10,AFG,Afghanistan,,7.365302,12.34344,121652,1935,,119717,,,False,False,CM
2022-10-10,AFG,Afghanistan,,-0.828097,11.598909,48713,306,,48407,,,False,False,GA
2022-10-10,AFG,Afghanistan,,1.633925,10.341295,16943,183,,16760,,,False,False,GQ
2022-10-10,AFG,Afghanistan,,41.873987,12.564167,22815736,177519,,22638217,,,False,False,IT
2022-10-10,AFG,Afghanistan,,48.379888,31.168139,5177217,109206,,5068011,,,False,False,UA
2022-10-10,AFG,Afghanistan,,18.036736,-64.801704,23198,123,,23075,,,False,False,VI
2022-10-10,AFG,Afghanistan,,15.45847,30.217636,63344,4962,,58382,,,False,False,SD
2022-06-27,AFG,Afghanistan,,38.961515,35.25175,15085742,98996,,14986746,,,False,False,TU
2022-10-10,AFG,Afghanistan,,-15.422486,60.006449,263177,1028,,262149,,,False,False,MU
2022-10-10,AFG,Afghanistan,,27.515709,90.442455,62200,21,,62179,,,False,False,BT
2022-10-10,AFG,Afghanistan,,32.320236,-64.774022,18220,148,,18072,,,False,False,BM
2022-10-10,AFG,Afghanistan,,,,15942,29,,15913,,,False,False,WS
2022-10-10,AFG,Afghanistan,,12.209209,-68.945576,45390,287,,45103,,,False,False,CW
2022-10-10,AFG,Afghanistan,,,,16182,12,,16170,,,False,False,
2022-10-10,AFG,Afghanistan,,12.881958,121.766541,3967861,63264,,3904597,,,False,False,PH
2022-10-10,AFG,Afghanistan,,0.863044,6.968272,6236,77,,6159,,,False,False,ST
2022-10-10,AFG,Afghanistan,,3.917845,-56.032028,81114,1385,,79729,,,False,False,SR
2022-10-10,AFG,Afghanistan,,33.930445,67.678945,200412,7806,,192606,,,False,False,AF
2022-10-10,AFG,Afghanistan,,28.395056,84.127803,999911,12018,,987893,,,False,False,NP
2022-10-10,AFG,Afghanistan,,43.942973,12.460035,21053,118,,20935,,,False,False,SM
2022-10-10,AFG,Afghanistan,,53.41975,-8.240472,1666048,7959,,1658089,,,False,False,IE
2022-10-10,AFG,Afghanistan,,35.167406,33.435499,590783,1187,,589596,,,False,False,CY
2022-10-10,AFG,Afghanistan,,-18.670284,35.530157,230312,2222,,228090,,,False,False,MZ
2022-10-10,AFG,Afghanistan,,31.276778,37.130583,1746997,14122,,1732875,,,False,False,JO
2022-10-10,AFG,Afghanistan,,17.192929,-88.5009,68884,686,,68198,,,False,False,BZ
2022-10-10,AFG,Afghanistan,,14.746334,-86.253097,456664,10996,,445668,,,False,False,HN
2022-10-10,AFG,Afghanistan,,39.553444,-7.839319,5502208,25087,,5477121,,,False,False,PT
2022-10-10,AFG,Afghanistan,,10.687223,-61.220852,183824,4224,,179600,,,False,False,TT
2022-10-10,AFG,Afghanistan,,13.446472,144.786613,48955,401,,48554,,,False,False,GU
2022-07-14,AFG,Afghanistan,,,,7335,1,,7334,,,False,False,
2022-10-10,AFG,Afghanistan,,62.393303,-96.818145,4251611,45218,,4206393,,,False,False,CA
2022-10-10,AFG,Afghanistan,,41.156986,20.181222,331348,3589,,327759,,,False,False,AL
